除權息日期,代號,名稱,除權息前收盤價,除權息參考價,權值,息值,權值+息值,權/息,漲停價,跌停價,開始交易基準價,減除股利參考價,現金股利,每仟股無償配股,現金增資股數,現金增資認購價,公開承銷股數,員工認購股數,原股東認購股數,按持股比例仟股認購
113/06/07,6841,長佳智能            ,92.00,91.00,0.000000,1.000000,1.000000,除息,100.00,81.90,91.00,91.00,1.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/11,4760,勤凱              ,143.50,140.80,0.000000,2.700000,2.700000,除息,154.50,127.00,141.00,140.80,2.70000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/11,4939,亞電              ,22.55,22.05,0.000000,0.500000,0.500000,除息,24.25,19.85,22.05,22.05,0.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/11,5309,系統電             ,34.95,34.25,0.000000,0.699989,0.699989,除息,37.65,30.85,34.25,34.25,0.69998896,0.00000000,0,0.00,0,0,0,0.00000000
113/06/12,4121,優盛              ,22.95,22.45,0.000000,0.500000,0.500000,除息,24.65,20.25,22.45,22.45,0.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/12,8424,惠普              ,73.80,69.80,0.000000,4.000000,4.000000,除息,76.70,62.90,69.80,69.80,4.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/13,4535,至興              ,34.50,32.90,0.000000,1.600000,1.600000,除息,36.15,29.65,32.90,32.90,1.60000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/13,4729,熒茂              ,17.55,17.05,0.000000,0.500000,0.500000,除息,18.75,15.35,17.05,17.05,0.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/13,6123,上奇              ,71.70,68.80,0.000000,2.900000,2.900000,除息,75.60,62.00,68.80,68.80,2.90000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/13,6146,耕興              ,241.00,230.50,0.000000,10.500000,10.500000,除息,253.50,207.50,230.50,230.50,10.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/13,6546,正基              ,162.00,158.50,0.000000,3.500000,3.500000,除息,174.00,143.00,158.50,158.50,3.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/14,1788,杏昌              ,146.50,139.50,0.000000,7.000000,7.000000,除息,153.00,126.00,139.50,139.50,7.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/14,6425,易發              ,74.10,73.60,0.000000,0.500000,0.500000,除息,80.90,66.30,73.60,73.60,0.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/17,1584,精剛              ,35.00,33.50,0.000000,1.500000,1.500000,除息,36.85,30.15,33.50,33.50,1.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/17,1593,祺驊              ,42.55,40.95,0.000000,1.600000,1.600000,除息,45.00,36.90,40.95,40.95,1.60000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/17,4945,陞達科技            ,99.60,97.60,0.000000,2.000000,2.000000,除息,107.00,87.90,97.60,97.60,2.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/17,5403,中菲              ,125.00,119.00,0.000000,6.000787,6.000787,除息,130.50,107.50,119.00,119.00,6.00078664,0.00000000,0,0.00,0,0,0,0.00000000
113/06/17,5902,德記              ,35.60,34.10,0.000000,1.500000,1.500000,除息,37.50,30.70,34.10,34.10,1.50000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/17,6291,沛亨              ,161.50,153.50,0.000000,8.000000,8.000000,除息,168.50,138.50,153.50,153.50,8.00000000,0.00000000,0,0.00,0,0,0,0.00000000
113/06/17,6538,倉和              ,183.50,176.49,0.000000,7.005508,7.005508,除息,194.00,159.00,176.50,176.49,7.00550790,0.00000000,0,0.00,0,0,0,0.00000000
