股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
1595,川寶,39.57,347.46,218.89,104.77,"1,191.98",3.43,106.41,0.60,608.33,1.70,0.30,0.96,1.84,19.15,3.46,1.04,-8.56,63.10,-5.38
1599,宏佳騰,32.33,184.22,251.45,160.30,0.00,14.33,25.47,3.74,97.59,1.70,0.72,0.01,-0.23,-0.23,-0.21,-0.06,11.06,71.96,-5.45
1742,台蠟,65.43,185.93,118.98,116.94,2.08,6.47,56.41,5.34,68.35,0.59,0.12,2.09,2.98,4.11,9.77,0.41,15.14,-65.33,15.78
1777,生泰,20.11,171.80,280.12,187.33,55.85,8.49,42.99,1.64,222.56,0.93,0.39,9.00,11.11,70.36,22.52,5.63,51.73,73.59,4.49
1781,合世,52.82,291.39,142.71,73.67,-612.19,1.21,301.65,1.97,185.27,4.92,0.80,-1.76,-4.96,-7.92,-2.92,-0.70,24.30,38.74,24.65
1784,訊聯,26.67,411.89,390.33,368.02,262.18,4.34,84.10,5.88,62.07,2.28,0.54,3.90,5.34,21.58,7.22,1.67,47.12,131.66,5.75
1785,光洋科,51.03,256.36,262.36,83.44,4.31,12.56,29.06,1.70,214.70,2.86,0.85,5.13,8.15,21.61,4.71,1.83,16.29,38.28,0.70
1788,杏昌,35.38,329.22,223.49,159.85,35.91,2.88,126.73,4.14,88.16,3.69,0.85,7.84,12.83,97.55,8.93,8.01,38.60,84.43,3.20
1796,金穎生技,24.04,143.95,209.17,125.31,37.77,6.57,55.55,3.24,112.65,1.20,0.67,10.82,14.46,37.01,15.70,3.01,100.24,115.06,8.08
1799,易威,48.60,437.86,397.93,326.37,-7.82,6.37,57.29,2.43,150.20,1.06,0.22,-12.64,-24.40,-14.66,-62.64,-1.27,-118.72,-508.20,-14.67
1813,寶利徠,26.40,265.21,158.10,97.80,-15.75,3.44,106.10,1.70,214.70,1.13,0.32,0.24,-0.55,-2.15,-1.21,0.24,17.61,46.63,2.57
1815,富喬,51.08,144.94,188.44,116.21,-3.49,3.35,108.95,2.50,146.00,0.35,0.23,-3.64,-9.31,-18.35,-20.35,-1.44,-6.21,73.57,-0.85
2035,唐榮公司,72.32,422.52,122.19,25.97,-7.35,"1,231.85",0.29,5.21,70.05,3.16,0.62,-5.97,-21.79,-32.15,-10.51,-3.22,0.00,79.74,0.00
2061,風青,51.67,310.34,154.70,110.10,-34.39,2.49,146.58,5.27,69.25,5.34,0.83,-1.15,-5.19,-4.63,-2.86,-0.54,14.76,18.24,13.53
2063,世鎧,46.07,356.28,410.49,255.21,26.01,5.71,63.92,1.67,218.56,3.00,0.74,13.20,23.97,61.26,17.18,4.95,155.20,130.22,18.49
2064,晉椿,60.14,110.25,77.54,42.26,-2.58,3.89,93.83,2.90,125.86,1.39,0.54,-2.73,-8.45,-13.85,-6.59,-1.36,21.47,121.08,13.48
2065,世豐,50.08,185.43,111.65,68.72,22.75,5.14,71.01,2.92,125.00,2.59,0.73,8.70,16.33,62.14,111.48,5.12,35.70,69.09,9.10
2066,世德,44.45,725.41,326.80,180.36,12.49,6.70,54.47,1.45,251.72,7.52,0.84,10.76,17.76,98.74,11.81,8.08,49.64,286.31,14.49
2067,嘉鋼,77.65,107.18,69.60,36.81,0.40,4.40,82.95,4.59,79.52,1.22,0.61,-1.45,-12.35,-4.41,-4.67,-1.20,0.00,13.80,0.00
2070,精湛,43.54,299.30,173.51,132.35,40.89,5.51,66.24,0.90,405.55,1.82,0.43,5.77,8.98,28.72,12.96,2.25,11.66,306.00,3.27
2073,雄順,44.35,137.89,140.43,136.89,4.45,4.13,88.37,91.56,3.98,1.10,0.65,2.10,3.02,5.84,2.50,0.49,36.27,135.41,5.60
2221,大甲,36.87,244.56,269.63,152.08,26.25,3.84,95.05,2.34,155.98,3.08,0.89,6.25,9.45,31.72,6.97,2.05,29.56,127.29,-3.96
2230,泰茂,38.43,317.86,451.12,356.40,22.70,3.32,109.93,2.19,166.66,1.68,0.45,10.65,16.92,27.97,19.15,2.66,45.28,76.80,6.12
2235,謚源,24.29,236.55,211.64,163.18,25.87,2.90,125.86,2.69,135.68,0.97,0.30,4.68,6.53,31.20,14.80,2.42,51.52,137.58,1.10
2596,綠意,43.64,"5,369.38",220.45,47.32,401.72,15.55,23.47,0.28,"1,303.57",19.86,0.23,2.05,3.29,5.86,8.76,0.82,無,無,無
2640,大車隊,41.52,200.49,160.38,148.02,275.25,9.02,40.46,9.84,37.09,2.32,0.87,12.37,20.94,89.54,14.14,7.08,70.49,157.18,16.60
2641,正德,30.56,146.17,301.94,138.12,6.41,"23,886.79",0.01,1.04,350.96,0.23,0.15,5.92,7.36,17.75,31.73,1.69,94.15,35.02,4.03
2643,捷迅,38.52,"1,471.88",282.86,264.01,32.65,3.37,108.30,無,無,32.33,1.51,8.79,13.84,90.69,5.63,7.53,-9.72,184.53,-15.23
2718,晶悅,46.51,"30,481.79",221.34,84.64,23.40,68.60,5.32,0.44,829.54,11.70,0.50,15.85,34.88,93.99,31.33,7.90,59.09,-5.00,42.79
2719,燦星旅,36.04,560.81,257.11,190.38,50.95,69.96,5.21,"39,297.20",0.00,8.76,1.35,12.99,18.70,15.30,9.60,1.53,15.70,-251.35,4.91
2724,藝舍-KY,61.30,"6,544.61",197.97,167.44,401.34,5.99,60.93,"15,784.33",0.02,13.25,0.20,4.58,10.53,5.33,16.72,-0.06,28.17,"2,359.02",12.99
2726,雅茗-KY,70.75,325.94,158.96,126.30,-9.92,20.60,17.71,6.97,52.36,7.06,0.93,-11.20,-39.10,-31.81,-12.77,-4.06,7.29,50.23,4.64
2729,瓦城,50.06,165.25,77.12,55.90,31.25,13.87,26.31,12.91,28.27,2.76,1.17,9.20,18.33,152.96,7.57,12.37,66.69,140.91,22.65
2732,六角,55.97,532.19,119.63,104.84,15.84,9.34,39.07,8.28,44.08,7.75,0.87,7.38,14.92,82.12,7.93,6.42,38.83,112.22,19.99
2734,易飛網,64.09,320.79,167.25,103.09,6.27,31.97,11.41,24.05,15.17,13.49,2.21,3.53,8.98,7.46,1.37,0.56,10.47,-94.30,9.02
2736,富野,44.32,155.35,132.58,124.65,2.50,46.06,7.92,64.10,5.69,0.44,0.24,-1.84,-2.11,-5.61,-4.79,-0.40,10.19,300.63,1.55
2740,天蔥,43.97,506.34,226.32,219.56,-67.67,19.22,18.99,35.62,10.24,5.03,0.64,-19.38,-29.10,-20.70,-30.42,-2.15,-40.43,0.00,-14.50
2743,山富,65.60,574.62,120.10,97.71,79.03,43.56,8.37,無,無,42.16,2.60,18.22,48.62,108.09,6.94,9.66,35.70,385.27,125.84
2745,五福,61.63,735.10,145.85,117.89,488.80,17.88,20.41,無,無,54.29,4.01,21.34,57.43,76.61,5.31,7.87,45.54,"3,214.66",77.29
2752,豆府,43.47,344.18,226.49,218.70,63.57,12.13,30.09,33.45,10.91,7.26,1.54,14.74,25.57,186.44,9.35,14.78,102.52,132.28,13.09
2754,亞洲藏壽司,68.58,208.30,42.25,35.97,6.47,41.49,8.79,97.09,3.75,2.84,1.05,5.25,13.54,56.83,4.22,4.54,87.02,106.81,15.73
2755,揚秦,51.63,171.53,135.35,123.25,35.83,32.47,11.24,27.82,13.12,3.70,1.45,9.15,18.82,54.32,6.14,4.40,46.69,223.08,16.96
2756,聯發國際,36.87,264.41,229.52,201.87,62.41,14.52,25.13,6.76,53.99,2.47,0.80,12.39,20.58,65.40,15.14,4.56,36.61,103.56,-2.26
2916,滿心,28.96,339.30,259.69,104.64,140.51,5.40,67.59,1.37,266.42,6.84,1.23,16.92,22.99,57.64,13.71,4.61,60.43,84.34,6.19
2924,宏太-KY,35.93,166.95,156.63,150.00,"-2,415.69",5.33,68.48,5.24,69.65,0.43,0.17,-13.51,-19.86,-10.21,-83.02,-1.05,-40.56,-177.36,-22.19
2926,誠品生活,96.77,103.89,81.49,56.09,無,6.67,54.72,3.41,107.03,0.67,0.42,0.00,-20.85,-49.82,-1.95,-2.73,35.21,221.96,7.18
2937,集雅社,69.78,180.49,113.93,66.26,17.19,5.00,73.00,3.03,120.46,8.96,1.35,3.82,12.17,36.09,2.67,2.81,1.76,13.56,-1.04
2941,米斯特,44.25,746.73,204.21,141.78,129.32,8.40,43.45,2.97,122.89,21.99,1.80,14.21,24.16,52.19,7.82,4.16,66.03,265.75,35.43
2947,振宇五金,75.41,333.85,101.81,32.26,3.03,208.69,1.74,2.31,158.00,3.41,0.70,2.35,6.15,28.55,2.27,2.32,25.74,90.75,18.16
2948,寶陞,54.89,"4,182.08",202.07,70.41,5.52,13.75,26.54,1.33,274.43,68.99,1.12,6.77,12.18,51.29,4.88,4.26,10.60,22.00,0.96
2949,欣新網,49.55,"19,641.85",182.96,142.67,20.50,7.23,50.48,4.68,77.99,809.92,2.11,7.84,15.89,84.22,3.52,6.29,-5.49,10.20,-2.34
