股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
4770,上品,403.70,277.56,352.07,3.07,118.89,1.37,266.42,3.30,0.57,17.31,23.75,260.91,29.57,21.22
4771,望隼,184.17,150.47,52.14,4.95,73.73,6.50,56.15,1.41,0.67,17.43,32.31,159.09,25.49,10.77
4807,日成-KY,241.98,120.36,-26.70,3.81,95.80,3.07,118.89,3.13,0.82,-11.43,-17.24,-55.93,-14.18,-4.12
4904,遠傳,79.87,66.79,18.25,7.76,47.03,9.98,36.57,2.14,0.51,6.53,14.55,38.34,12.05,3.42
4906,正文,186.09,140.80,864.26,3.22,113.35,5.91,61.75,7.01,1.12,2.72,4.11,19.44,2.09,1.55
4912,聯德控股-KY,172.02,133.77,5.69,2.75,132.72,3.64,100.27,3.02,0.64,4.41,7.96,48.17,5.89,4.18
4915,致伸,139.34,103.33,23.15,4.63,78.83,5.87,62.18,7.57,1.29,5.87,14.09,70.55,4.35,5.5
4916,事欣科,221.23,91.67,5.27,4.89,74.64,2.30,158.69,23.71,0.95,3.25,4.62,14.30,2.35,0.87
4919,新唐,234.68,134.40,"6,058.61",8.24,44.29,2.41,151.45,6.12,1.03,7.16,14.11,64.95,6.84,5.77
4927,泰鼎-KY,81.72,51.65,-1.87,3.55,102.81,3.81,95.80,1.16,0.66,-3.01,-10.68,-42.41,-6.33,-4.2
4930,燦星網,293.78,262.37,7.67,10.35,35.26,6.84,53.36,8.96,0.59,5.95,10.0,98.94,8.75,3.61
4934,太極,281.35,253.48,-19.56,159.95,2.28,7.22,50.55,2.74,0.67,-5.68,-7.93,-8.47,-8.87,-0.13
4935,茂林-KY,483.87,439.32,25.95,3.61,101.10,5.35,68.22,2.09,0.54,3.15,4.07,31.47,5.58,2.57
4938,和碩,148.94,110.88,9.32,6.62,55.13,8.52,42.84,16.68,2.25,3.20,8.37,91.23,1.38,5.9
4942,嘉彰,369.41,347.27,934.10,2.35,155.31,12.45,29.31,2.18,0.57,5.74,7.26,65.35,10.09,4.32
4949,有成精密,309.88,133.23,"4,748.49",16.44,22.20,2.58,141.47,53.10,1.74,7.68,12.36,44.64,4.32,3.2
4952,凌通,382.88,257.29,23.73,5.97,61.13,1.74,209.77,4.70,0.71,5.72,7.28,17.16,7.75,1.54
4956,光鋐,283.83,193.04,-9.82,1.79,203.91,2.93,124.57,0.79,0.39,-4.37,-7.75,-16.69,-12.25,-1.38
4958,臻鼎-KY,144.47,120.97,6.15,5.09,71.70,7.00,52.14,1.47,0.64,4.74,7.06,106.10,6.23,6.55
4960,誠美材,243.67,171.27,-574.12,4.28,85.28,3.03,120.46,2.29,0.63,-3.45,-5.77,-11.27,-6.29,-0.99
