股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
2399,映泰,23.08,"1,677.47",377.49,219.44,-758.89,16.45,22.18,2.21,165.15,18.01,0.84,-4.04,-5.16,-6.57,-4.84,-0.64,4.78,30.95,1.21
2401,凌陽,22.61,647.42,437.13,351.72,0.00,6.53,55.89,1.66,219.87,2.95,0.38,-1.30,-1.96,-1.45,-3.99,-0.84,64.12,59.79,2.01
2402,毅嘉,38.65,242.68,184.57,150.85,13.23,2.57,142.02,5.91,61.75,3.13,0.85,5.02,7.88,17.83,5.43,1.56,30.92,104.73,7.35
2404,漢唐,73.25,978.37,128.24,84.90,35.45,8.70,41.95,0.36,"1,013.88",49.66,1.48,12.50,42.08,339.97,7.04,24.82,13.28,154.87,13.21
2405,輔信,14.74,369.81,471.32,325.86,6.54,11.23,32.50,1.28,285.15,1.63,0.38,0.42,0.38,0.88,0.83,0.04,55.70,49.47,7.32
2406,國碩,39.97,195.01,194.43,145.43,-14.02,2.61,139.84,3.20,114.06,0.70,0.26,-7.74,-13.01,-34.09,-31.32,-0.99,12.78,62.71,2.37
2408,南亞科,13.21,210.45,479.73,335.42,-72.35,6.24,58.49,1.34,272.38,0.35,0.15,-3.71,-4.27,-34.55,-24.88,-2.40,-30.29,76.51,-3.73
2409,友達,56.90,155.90,152.50,119.00,0.00,11.30,32.30,8.20,44.51,1.40,0.60,-4.20,-10.20,-28.20,-7.30,-2.37,10.60,109.30,0.30
2412,中華電,24.63,156.73,156.93,135.10,"14,823.71",8.56,42.64,4.71,77.49,0.76,0.43,7.30,9.63,60.58,17.02,4.76,113.38,115.84,3.30
2413,環科,58.36,294.21,174.26,75.04,4.65,6.42,56.85,2.02,180.69,4.35,0.89,2.58,5.23,10.23,2.30,0.84,18.67,0.29,5.60
2414,精技,49.38,316.64,168.79,122.71,18.24,5.45,66.97,11.28,32.35,16.62,2.55,4.78,9.88,31.63,1.77,2.38,47.24,102.17,26.92
