股票代碼,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
8201,無敵,28.38,445.07,318.26,284.54,-127.09,6.05,60.33,4.70,77.65,4.06,0.68,-9.29,-12.79,-11.37,-13.74,-1.14,0.00,116.23,0.00
8210,勤誠,60.12,169.30,151.12,117.03,"1,894.74",3.75,97.33,4.09,89.24,2.26,0.85,8.73,20.81,121.17,9.65,9.03,44.41,75.52,24.53
8213,志超,48.15,188.48,148.24,134.55,7.59,2.64,138.25,8.32,43.87,2.25,0.65,4.45,7.37,61.00,5.97,4.03,16.91,104.40,5.71
8215,明基材,57.41,138.95,129.11,73.05,6.16,5.58,65.41,4.56,80.04,1.69,0.83,3.51,6.71,19.67,2.94,1.29,16.80,62.73,3.22
8222,寶一,45.24,236.10,281.61,120.54,8.28,7.03,51.92,1.21,301.65,1.41,0.48,4.69,7.58,8.84,8.87,0.88,-28.64,26.74,-6.00
8249,菱光,28.50,"3,475.07",171.08,153.70,15.99,6.51,56.06,6.94,52.59,17.95,0.45,3.88,5.46,22.09,8.07,2.18,9.12,157.29,-1.29
8261,富鼎,9.95,"1,151.21",752.38,622.82,0.00,3.67,99.45,2.59,140.92,6.20,0.47,5.46,6.11,33.45,11.56,2.83,66.58,109.95,-3.67
8271,宇瞻,29.97,497.15,274.53,190.42,"5,610.15",10.09,36.17,4.79,76.20,8.33,1.23,9.94,13.80,61.00,7.92,4.51,20.99,110.53,-0.50
8341,日友,49.21,124.14,153.63,133.99,846.95,5.89,61.96,47.60,7.66,0.49,0.31,4.62,9.76,42.04,13.06,3.40,74.30,70.32,-0.05
8367,建新國際,72.61,233.77,140.82,139.17,5.14,5.26,69.39,無,無,0.45,0.18,3.18,9.44,46.62,14.74,3.25,49.73,61.57,5.82
8374,羅昇,30.17,396.04,274.71,180.38,0.15,3.27,111.62,3.10,117.74,4.97,0.97,-0.36,-0.81,-0.55,-0.56,-0.19,25.12,69.10,6.27
8404,百和興業-KY,73.07,92.47,76.61,38.30,-10.43,5.05,72.27,1.08,337.96,0.54,0.29,-0.33,-12.06,-17.58,-11.90,-1.90,-3.52,48.96,-3.05
8411,福貞-KY,53.57,116.93,121.06,95.43,1.62,4.78,76.35,7.99,45.68,1.16,0.65,1.27,0.58,4.95,0.41,0.15,3.28,68.42,1.00
8422,可寧衛,55.54,131.00,127.64,124.74,15.11,8.08,45.17,41.40,8.81,0.55,0.31,7.49,14.61,116.20,22.96,9.12,17.13,49.45,-4.11
8429,金麗-KY,10.04,"302,673.89","7,147.50","7,134.95",-6.94,8.83,41.33,91.77,3.97,103.24,0.03,-0.18,-0.23,-0.69,-6.81,-0.08,32.25,27.63,0.45
8438,昶昕,40.04,158.98,168.06,141.40,10.47,8.03,45.45,14.48,25.20,2.27,1.07,3.45,5.23,18.09,2.92,1.28,36.95,95.36,6.26
8442,威宏-KY,48.38,490.41,226.62,178.99,7.52,4.17,87.52,6.06,60.23,9.52,1.24,10.86,22.17,95.29,7.78,10.07,49.51,350.27,19.81
8443,阿瘦,52.71,263.44,138.17,40.69,3.81,46.26,7.89,0.74,493.24,3.73,0.67,1.25,2.07,2.55,1.44,0.25,50.38,349.01,32.42
8454,富邦媒,64.06,164.31,98.48,66.87,224.37,36.19,10.08,20.42,17.87,14.09,4.00,13.34,36.14,184.75,3.32,15.10,24.62,121.97,4.95
8462,柏文,82.37,94.87,67.00,65.65,2.32,126.68,2.88,0.54,675.92,1.37,0.44,2.08,6.51,18.29,2.64,1.50,71.25,132.25,22.20
8463,潤泰材,64.92,140.63,122.25,71.41,4.95,4.95,73.73,2.51,145.41,1.52,0.74,3.53,8.26,16.96,3.83,0.77,13.68,24.11,3.98
8464,億豐,25.09,270.07,370.92,293.73,"1,572.65",10.71,34.08,2.44,149.59,3.05,0.85,17.90,24.45,274.13,20.99,18.73,120.30,126.59,11.61
8467,波力-KY,40.43,242.97,172.72,145.41,10.49,6.30,57.93,3.58,101.95,2.18,0.60,12.83,21.12,88.21,19.36,7.69,36.71,105.26,10.57
8473,山林水,51.68,"1,463.59",93.73,91.00,2.68,2.41,151.45,無,無,5.66,0.24,1.93,2.26,18.04,4.41,0.27,10.12,82.40,4.42
8476,台境,31.45,629.67,345.39,295.86,53.05,27.25,13.39,4.99,73.14,4.59,0.60,14.48,21.75,52.97,23.83,4.49,-27.05,-0.39,-14.74
8478,東哥遊艇,46.60,627.04,306.19,150.75,"2,034.76",5.31,68.73,0.87,419.54,4.80,0.63,21.72,39.52,249.15,32.91,23.66,18.03,94.53,-4.60
8481,政伸,11.67,317.71,606.31,533.12,535.10,3.42,106.72,3.88,94.07,1.97,0.52,6.50,7.56,23.26,12.57,1.88,82.29,60.20,-13.89
8482,商億-KY,27.75,142.27,149.26,100.49,136.41,7.70,47.40,3.78,96.56,1.63,0.75,6.11,8.25,35.27,8.10,2.87,57.06,79.26,1.02
