股票代號,公司簡稱,當盤成交價,當盤成交量,累積成交量,開盤價,最高價,最低價,昨收價,漲跌百分比
3689,湧德,73.5,151.0,3473.0,73.5,75.9,73.0,70.2,4.700854700854697
3691,碩禾,118.0,13.0,372.0,117.0,120.5,117.0,115.0,2.608695652173913
3693,營邦,383.0,89.0,1276.0,390.0,391.5,371.5,375.0,2.1333333333333333
3707,漢磊,51.6,66.0,1011.0,52.9,53.5,51.6,52.0,-0.7692307692307665
3709,鑫聯大投控,24.85,6.0,265.0,24.6,25.6,23.85,23.4,6.196581196581209
3710,連展投控,10.1,29.0,1410.0,10.3,10.45,10.05,10.15,-0.4926108374384306
3713,新晶投控,23.8,10.0,87.0,24.4,24.65,23.8,24.15,-1.449275362318832
4102,永日,36.65,10.0,270.0,37.4,37.4,36.6,36.65,0.0
4105,東洋,73.3,15.0,274.0,73.3,73.7,73.2,73.3,0.0
4107,邦特,126.0,3.0,160.0,127.0,128.0,126.0,126.0,0.0
4109,加捷生醫,30.2,193.0,3912.0,32.0,32.25,30.2,30.75,-1.788617886178864
4111,濟生,26.4,4.0,253.0,26.65,26.75,26.3,26.2,0.7633587786259515
4113,聯上,46.4,67.0,2505.0,43.6,46.95,43.5,45.4,2.2026431718061676
4114,健喬,36.75,82.0,2541.0,36.75,37.55,36.75,36.2,1.5193370165745776
4116,明基醫,-,-,53,48.8000,48.9000,48.0000,48.0000,0.0
4120,友華,-,-,57,45.1000,45.3000,44.4500,44.3000,0.0
4121,優盛,18.95,3.0,88.0,18.95,19.1,18.85,18.8,0.7978723404255244
4123,晟德,45.2,91.0,1931.0,46.0,46.35,44.95,44.75,1.0055865921787774
4126,太醫,86.5,7.0,96.0,86.4,86.7,85.3,85.3,1.4067995310668264
4127,天良,32.4,2.0,183.0,32.65,32.8,32.15,32.05,1.0920436817472745
4128,中天,36.8,132.0,1433.0,37.15,37.7,36.8,36.75,0.13605442176869975
4129,聯合,100.0,37.0,1272.0,97.5,101.5,97.5,93.2,7.29613733905579
4130,健亞,22.55,5.0,155.0,22.8,22.95,22.4,22.6,-0.22123893805310046
4131,浩泰,-,-,19,30.5000,30.6500,30.0000,30.5000,0.0
4138,曜亞,99.0,2.0,44.0,97.4,99.9,97.4,97.2,1.851851851851849
4139,馬光-KY,28.55,9.0,17.0,31.75,31.75,28.55,29.85,-4.355108877721945
4147,中裕,78.4,34.0,772.0,78.0,79.5,77.1,76.7,2.2164276401564575
4153,鈺緯,44.55,12.0,238.0,41.2,45.2,41.2,41.2,8.131067961165034
4154,樂威科-KY,-,-,30,14.6000,15.0000,14.6000,14.6000,0.0
4157,太景*-KY,14.3,71.0,1616.0,14.35,14.6,14.2,14.6,-2.054794520547938
4160,訊聯基因,96.0,16.0,387.0,95.7,97.9,95.7,94.2,1.910828025477704
4161,聿新科,31.7,5.0,35.0,31.8,31.8,31.1,30.8,2.9220779220779174
4162,智擎,85.4,63.0,571.0,87.1,87.5,85.4,85.4,0.0
4163,鐿鈦,118.0,9.0,79.0,116.5,118.5,116.5,115.5,2.1645021645021645
4167,松瑞藥,21.0,57.0,1439.0,21.05,21.35,21.0,21.0,0.0
4168,醣聯,25.45,7.0,205.0,26.1,26.1,25.45,25.5,-0.1960784313725518
4171,瑞基,30.85,20.0,125.0,30.35,30.9,30.05,30.2,2.152317880794709
4173,久裕,21.15,3.0,91.0,20.9,21.25,20.9,20.95,0.9546539379474906
4174,浩鼎,74.8,178.0,11991.0,77.6,77.6,72.2,70.7,5.799151343705791
4175,杏一,-,-,28,71.7000,72.4000,71.6000,71.6000,0.0
4183,福永生技,-,-,24,24.9000,25.0000,24.6000,24.4000,0.0
4188,安克,23.05,4.0,158.0,23.95,23.95,22.6,21.8,5.73394495412844
4192,杏國,41.0,2.0,10.0,40.95,41.0,40.0,39.85,2.885821831869507
4198,欣大健康,41.3,5.0,16.0,41.3,41.3,40.2,41.3,0.0
4205,中華食,-,-,35,89.8000,90.9000,89.8000,89.8000,0.0
4207,環泰,17.3,3.0,88.0,17.35,17.4,17.3,17.2,0.5813953488372177
4303,信立,45.95,52.0,5618.0,43.9,45.95,43.8,41.8,9.928229665071784
4304,勝昱,11.95,1.0,38.0,12.4,12.5,11.95,11.85,0.8438818565400814
4305,世坤,43.1,1.0,32.0,43.2,43.65,43.1,42.0,2.6190476190476226
4401,東隆興,22.0,3.0,172.0,21.65,22.5,21.55,21.4,2.8037383177570163
4402,福大,40.8,37.0,1186.0,39.05,41.25,39.0,38.65,5.562742561448896
4406,新昕纖,10.3,1.0,10.0,10.45,10.45,10.3,10.3,0.0
4413,飛寶企業,17.15,1.0,37.0,17.4,17.4,17.0,17.2,-0.29069767441860883
4416,三圓,-,-,35,98.5000,100.0000,98.5000,98.5000,0.0
4417,金洲,38.85,8.0,395.0,39.0,39.5,38.85,37.9,2.506596306068609
4419,皇家美食,-,-,29,60.0000,60.0000,56.0000,56.0000,0.0
4420,光明,61.9,4.0,109.0,62.0,63.0,61.7,61.6,0.4870129870129824
4430,耀億,21.0,1.0,100.0,21.0,21.4,20.95,20.95,0.2386634844868769
4432,銘旺實,23.45,1.0,266.0,23.4,23.45,23.25,21.35,9.83606557377048
4433,興采,28.55,2.0,26.0,28.9,28.9,28.5,28.4,0.5281690140845146
4442,竣邦-KY,-,-,4,27.2500,27.2500,26.6500,26.5000,0.0
4502,健信,25.8,3.0,24.0,25.65,26.2,25.35,25.4,1.574803149606308
4503,金雨,47.0,15.0,176.0,47.7,49.0,47.0,46.6,0.8583690987124433
4506,崇友,101.0,1.0,110.0,100.5,102.0,99.8,99.2,1.8145161290322551
4510,高鋒,38.35,367.0,7575.0,40.6,40.6,38.35,42.55,-9.870740305522904
4513,福裕,78.1,119.0,8945.0,74.4,78.1,74.4,71.0,9.999999999999993
4523,永彰,-,-,0,-,-,-,42.7500,0.0
4527,方土霖,-,-,85,43.4000,44.6000,43.3000,43.3500,0.0
4528,江興鍛,28.55,1.0,14.0,28.6,28.6,28.45,28.4,0.5281690140845146
4529,淳紳,9.37,2.0,64.0,9.42,9.42,9.12,9.1,2.9670329670329623
4530,宏易,8.25,1.0,12.0,8.7,8.7,8.25,8.0,3.125
4533,協易機,46.7,849.0,26301.0,45.8,48.1,45.65,44.5,4.943820224719107
4534,慶騰,26.65,56.0,4963.0,27.1,28.55,26.2,26.0,2.4999999999999947
4535,至興,-,-,18,33.2000,33.3000,33.1000,32.9000,0.0
4538,大詠城,-,-,49,19.8500,20.2500,19.8000,19.8000,0.0
4541,晟田,25.35,1.0,87.0,25.3,25.75,25.3,25.2,0.5952380952381037
4542,科嶠,59.8,17.0,371.0,58.9,60.9,58.0,59.9,-0.16694490818030286
4543,萬在,49.25,16.0,796.0,49.3,51.0,49.2,48.1,2.390852390852388
4549,桓達,133.5,74.0,3105.0,143.5,143.5,132.0,132.0,1.1363636363636365
4550,長佳,31.35,3.0,89.0,31.0,31.75,30.9,31.4,-0.1592356687897999
4554,橙的,27.8,2.0,29.0,27.8,28.0,27.8,27.3,1.8315018315018317
4556,旭然,30.8,1.0,11.0,31.5,32.0,30.8,30.9,-0.32362459546924877
4558,寶緯,28.75,1.0,15.0,28.0,28.95,28.0,28.5,0.8771929824561403
4561,健椿,52.9,124.0,5499.0,50.4,54.9,50.4,50.0,5.799999999999997
4563,百德,68.3,70.0,3826.0,63.9,68.6,63.9,62.4,9.455128205128203
4568,科際精密,52.3,1.0,19.0,52.0,53.2,52.0,51.2,2.148437499999989
4577,達航科技,19.5,1.0,72.0,19.5,20.1,19.0,19.7,-1.0152284263959355
4580,捷流閥業,104.0,10.0,234.0,104.0,106.0,103.0,101.0,2.9702970297029703
4584,君帆,-,-,69,68.0000,70.0000,66.9000,71.9000,0.0
4609,唐鋒,9.35,7.0,7.0,9.35,9.35,9.35,8.88,5.292792792792779
4702,中美實,13.15,1.0,62.0,12.85,13.15,12.8,12.8,2.7343749999999973
4706,大恭,29.75,1.0,7.0,30.15,30.15,29.75,29.5,0.847457627118644
