股票代碼,公司簡稱,償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元)
2331,精英,173.58,153.84,69.20,6.49,56.24,5.91,61.75,9.31,0.85,4.43,8.59,23.06,5.14,1.82
2332,友訊,307.11,216.43,27.39,4.77,76.51,2.65,137.73,9.45,1.00,4.52,5.37,14.28,3.56,0.95
2337,旺宏,310.05,163.64,-6.23,7.08,51.55,1.48,246.62,0.70,0.34,-1.84,-3.37,-10.15,-6.15,-0.92
2338,光罩,68.54,56.49,2.52,4.82,75.72,9.89,36.90,0.94,0.37,2.06,3.46,17.38,2.28,1.75
2340,台亞,241.73,167.78,16.39,3.95,92.40,2.34,155.98,0.99,0.34,2.77,3.57,6.85,7.65,0.7
2342,茂矽,380.97,330.54,-20.86,5.33,68.48,3.47,105.18,2.50,0.39,-4.47,-6.99,-11.23,-11.91,-1.12
2344,華邦電,184.56,113.11,0.29,7.63,47.83,2.32,157.32,0.76,0.40,0.44,0.03,-1.66,0.04,-0.29
2345,智邦,171.91,123.99,159.73,6.94,52.59,4.93,74.03,33.77,1.64,17.50,39.11,209.37,10.60,15.99
2347,聯強,163.08,108.54,618.69,4.97,73.44,6.74,54.15,39.21,1.82,4.09,10.1,63.05,1.84,4.37
2348,海悅,312.43,108.60,13.05,6.10,59.83,0.35,"1,042.85",171.39,0.27,6.65,27.75,148.94,22.53,13.86
2349,錸德,236.72,188.73,0.07,4.00,91.25,3.24,112.65,0.96,0.40,-1.31,-3.63,-2.11,-4.96,-0.44
2351,順德,211.17,92.69,15.04,5.37,67.97,2.42,150.82,2.09,0.87,6.64,11.07,54.95,7.19,4.08
2352,佳世達,126.67,80.63,4.49,5.21,70.05,4.17,87.52,5.30,1.07,3.12,6.84,32.13,2.22,1.51
2353,宏碁,146.97,96.14,28.51,4.66,78.32,5.02,72.70,55.33,1.21,2.95,7.47,25.59,2.33,1.64
2354,鴻準,267.45,255.72,21.57,5.18,70.46,16.04,22.75,21.00,0.52,3.16,4.13,37.81,5.78,3.01
2355,敬鵬,250.59,194.50,20.86,4.38,83.33,4.03,90.57,2.65,0.73,3.53,4.77,28.97,4.55,1.92
2356,英業達,113.53,77.95,2.58,5.66,64.48,8.50,42.94,17.38,2.15,4.09,10.11,20.17,1.17,1.71
2357,華碩,155.49,86.41,32.88,5.22,69.92,2.52,144.84,24.37,1.01,3.88,7.36,297.45,3.71,21.44
2359,所羅門,180.87,105.41,"3,908.22",4.49,81.29,1.94,188.14,9.71,0.49,6.57,10.15,37.24,13.22,3.11
2360,致茂,187.34,128.32,86.16,3.26,111.96,1.56,233.97,2.63,0.55,11.97,18.37,121.45,21.31,9.45
2362,藍天,101.88,83.94,2.32,8.58,42.54,5.30,68.86,7.62,0.26,1.83,2.56,17.43,4.35,1.81
2363,矽統,"2,983.78","2,930.23","2,200.30",11.59,31.49,0.60,608.33,0.25,0.01,3.22,3.24,8.24,298.55,0.76
2364,倫飛,86.23,52.27,9.69,15.07,24.22,2.65,137.73,4.02,0.88,9.22,27.42,35.51,9.57,3.51
2365,昆盈,624.47,554.47,12.36,10.71,34.08,2.47,147.77,1.21,0.22,2.23,2.44,4.16,9.42,0.33
2367,燿華,104.67,70.39,-53.00,3.57,102.24,5.37,67.97,1.23,0.67,-0.73,-3.35,-5.15,-2.30,-0.51
2368,金像電,237.82,174.30,44.50,2.78,131.29,3.85,94.80,4.54,0.95,11.48,22.65,106.09,11.74,7.25
2369,菱生,236.67,199.47,-3.97,5.21,70.05,10.15,35.96,1.36,0.71,-1.55,-2.75,-5.02,-2.83,-0.42
2371,大同,188.63,121.19,3.54,6.62,55.13,2.15,169.76,1.68,0.37,2.59,4.32,9.29,5.60,1.13
2373,震旦行,207.96,174.14,17.13,8.65,42.19,3.58,101.95,4.01,0.64,6.89,13.35,62.76,10.18,4.86
2374,佳能,210.90,173.83,32.84,6.87,53.12,2.97,122.89,1.58,0.55,2.80,3.63,10.50,4.92,0.96
2375,凱美,138.00,106.37,5.17,2.81,129.89,2.83,128.97,2.04,0.29,2.10,2.98,39.73,5.52,2.44
2376,技嘉,211.20,118.88,73.59,9.07,40.24,4.40,82.95,28.01,1.88,6.60,12.92,96.03,3.47,7.46
2377,微星,208.42,118.09,"33,280.34",9.26,39.41,4.95,73.73,34.01,2.06,8.52,15.28,108.62,4.12,8.92
2379,瑞昱,149.82,123.17,39.11,7.63,47.83,2.11,172.98,11.67,0.91,9.05,20.56,186.10,9.61,17.85
2380,虹光,119.26,66.66,-11.44,3.25,112.30,1.82,200.54,4.36,0.72,-14.14,-41.29,-18.75,-20.59,-1.88
2382,廣達,126.38,100.46,6.80,3.99,91.47,5.72,63.81,17.85,1.57,6.32,21.86,133.93,3.72,10.29
2383,台光電,145.95,119.36,26.68,2.85,128.07,5.78,63.14,2.64,0.85,11.34,22.45,216.20,13.29,16.35
2385,群光,149.17,108.13,90.53,4.14,88.16,4.06,89.90,6.19,1.11,10.23,20.33,148.32,9.15,10.35
2387,精元,161.01,129.34,9.92,3.06,119.28,5.55,65.76,4.71,1.04,6.70,11.92,91.66,5.68,6.5
2388,威盛,2.63,2.12,10.60,28.06,13.00,2.61,139.84,6.39,0.53,0.02,0.03,0.14,0.04,0.82
2390,云辰,429.28,298.34,-11.24,7.16,50.97,0.83,439.75,2.71,0.21,-2.44,-3.07,-3.11,-12.41,-0.42
2392,正崴,164.14,112.12,6.06,4.93,74.03,4.74,77.00,4.15,0.89,2.55,5.75,61.22,2.32,3.09
2393,億光,265.30,249.49,178.37,3.31,110.27,12.25,29.79,2.71,0.68,5.81,8.02,45.73,8.45,3.32
2395,研華,258.23,192.08,"29,223.02",6.34,57.57,3.23,113.00,5.77,0.95,15.99,23.18,154.54,16.71,12.65
